id_registro,fecha_deposito,run_fondo,nombre_fondo,administradora,estado_registro,estado_liquidacion,tipo_fondo,reglamento_codigo,reglamento_url,fecha_ultima_modificacion,primera_deteccion
FM262659,2026-07-08,10892,FONDO MUTUO ZURICH ESTRUCTURADO UF,ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026070450432,https://www.cmfchile.cl/documentos/rfm/rfm_2026070450432.pdf,2026-07-08,2026-08-20
FM262658,2026-07-01,10891,PERÚ INMOBILIARIO III FONDO DE INVERSIÓN,FRONTAL TRUST ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026070433051,https://www.cmfchile.cl/documentos/rfm/rfm_2026070433051.pdf,2026-07-01,2026-08-20
FM262657,2026-06-29,10890,BOREAL SUR FORESTAL FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026060430033,https://www.cmfchile.cl/documentos/rfm/rfm_2026060430033.pdf,2026-06-29,2026-08-20
FM262656,2026-06-23,10889,FONDO DE INVERSIÓN PRINCIPAL REVERENCE CAPITAL PARTNERS PE IV,PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060416969,https://www.cmfchile.cl/documentos/rfm/rfm_2026060416969.pdf,2026-06-23,2026-08-20
FM262655,2026-06-23,10888,FONDO MUTUO SCOTIA RENTA CORTO PLAZO,SCOTIA  ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.,Vigente,,Fondo Mutuo,2026060416339,https://www.cmfchile.cl/documentos/rfm/rfm_2026060416339.pdf,2026-06-23,2026-08-20
FM262654,2026-06-22,10887,ATLANTA HEALTH INVESTMENTS FONDO DE INVERSIÓN,ASSET ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060414321,https://www.cmfchile.cl/documentos/rfm/rfm_2026060414321.pdf,2026-06-22,2026-08-20
FM262653,2026-06-19,10886,FONDO DE INVERSIÓN FALCOM GTCR PRIVATE EQUITY XV,FALCOM ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060410376,https://www.cmfchile.cl/documentos/rfm/rfm_2026060410376.pdf,2026-06-19,2026-08-20
FM262652,2026-06-18,10885,FONDO DE INVERSIÓN ACTIVA DEUDA AUTOMOTRIZ GLOBAL IV,LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026070495635,https://www.cmfchile.cl/documentos/rfm/rfm_2026070495635.pdf,2026-07-28,2026-08-20
FM262651,2026-06-18,10884,PICTON - FRANCISCO PARTNERS VIII FONDO DE INVERSIÓN,PICTON ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060407595,https://www.cmfchile.cl/documentos/rfm/rfm_2026060407595.pdf,2026-06-18,2026-08-20
FM262650,2026-06-16,10883,VOLCOMCAPITAL SEMILÍQUIDO PE FONDO DE INVERSIÓN,VOLCOMCAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060402846,https://www.cmfchile.cl/documentos/rfm/rfm_2026060402846.pdf,2026-06-16,2026-08-20
FM262649,2026-06-15,10882,FONDO MUTUO ITAU ESTRUCTURADO UF II,ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026060397229,https://www.cmfchile.cl/documentos/rfm/rfm_2026060397229.pdf,2026-06-15,2026-08-20
FM262648,2026-06-08,10881,FONDO DE INVERSIÓN FYNSA DEUDA AUTOMOTRIZ PERÚ,FYNSA ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060381024,https://www.cmfchile.cl/documentos/rfm/rfm_2026060381024.pdf,2026-06-08,2026-08-20
FM262647,2026-06-08,10880,FONDO DE INVERSIÓN SINGULAR FARELLONES CHILEAN EQUITIES,SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión Rescatable,2026060379493,https://www.cmfchile.cl/documentos/rfm/rfm_2026060379493.pdf,2026-06-08,2026-08-20
FM262646,2026-06-04,10879,FONDO DE INVERSIÓN FYNSA GALGO III,FYNSA ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060374225,https://www.cmfchile.cl/documentos/rfm/rfm_2026060374225.pdf,2026-06-04,2026-08-20
FM262645,2026-06-04,10878,FONDO DE INVERSIÓN LARRAINVIAL LATAM EQUITIES,LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión Rescatable,2026060373338,https://www.cmfchile.cl/documentos/rfm/rfm_2026060373338.pdf,2026-06-04,2026-08-20
FM262644,2026-06-03,10877,BTG PACTUAL ETF ACCIONES CHILENAS IPSA FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión Rescatable,2026060371019,https://www.cmfchile.cl/documentos/rfm/rfm_2026060371019.pdf,2026-06-03,2026-08-20
FM262643,2026-06-03,10876,FONDO DE INVERSIÓN CREDICORP CAPITAL TRITON SMALLER MID-CAP FUND 1,CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026060370150,https://www.cmfchile.cl/documentos/rfm/rfm_2026060370150.pdf,2026-06-03,2026-08-20
FM262641,2026-05-28,10874,VINCI COMPASS CRÉDITO CHILE FONDO DE INVERSIÓN,VINCI COMPASS S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026060424679,https://www.cmfchile.cl/documentos/rfm/rfm_2026060424679.pdf,2026-06-26,2026-08-20
FM262642,2026-05-28,10875,FONDO DE INVERSIÓN FALCOM WPP PRIVATE EQUITY XI,FALCOM ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026050356990,https://www.cmfchile.cl/documentos/rfm/rfm_2026050356990.pdf,2026-05-28,2026-08-20
FM262640,2026-05-22,10873,ARRAYÁN-LINK RENTA ACTIVA FONDO DE INVERSIÓN,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060418043,https://www.cmfchile.cl/documentos/rfm/rfm_2026060418043.pdf,2026-06-24,2026-08-20
FM262639,2026-05-18,10872,BTG PACTUAL FINANCIAMIENTO INMOBILIARIO PREFERENTE II FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026050334251,https://www.cmfchile.cl/documentos/rfm/rfm_2026050334251.pdf,2026-05-18,2026-08-20
FM262638,2026-05-13,10871,FONDO MUTUO PRUDENTIAL RENTA LARGO PLAZO,PRUDENTIAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026050327599,https://www.cmfchile.cl/documentos/rfm/rfm_2026050327599.pdf,2026-05-13,2026-08-20
FM262637,2026-05-11,10870,NEORENTAS DIECIOCHO FONDO DE INVERSIÓN,NEORENTAS S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026050321080,https://www.cmfchile.cl/documentos/rfm/rfm_2026050321080.pdf,2026-05-11,2026-08-20
FM262636,2026-05-05,10869,FONDO DE INVERSIÓN PRINCIPAL ADVENT GPE XI,PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026060394549,https://www.cmfchile.cl/documentos/rfm/rfm_2026060394549.pdf,2026-06-12,2026-08-20
FM262635,2026-04-30,10868,FONDO DE INVERSIÓN FYNSA MULTIFAMILY +SITISEN,FYNSA ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026040300417,https://www.cmfchile.cl/documentos/rfm/rfm_2026040300417.pdf,2026-08-10,2026-08-20
FM262634,2026-04-29,10867,FONDO DE INVERSION LINK - EURO RETORNO PREFERENTE II,LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026040295205,https://www.cmfchile.cl/documentos/rfm/rfm_2026040295205.pdf,2026-04-29,2026-08-20
FM262632,2026-04-27,10865,FONDO DE INVERSIÓN DEUDA PRIVADA AUTOMOTRIZ V,ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.,Vigente,,Fondo Inversión No Rescatable,2026050330539,https://www.cmfchile.cl/documentos/rfm/rfm_2026050330539.pdf,2026-05-14,2026-08-20
FM262631,2026-04-27,10864,FONDO DE INVERSION ETF SINGULAR BRAZIL EQUITIES,SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión Rescatable,2026070456791,https://www.cmfchile.cl/documentos/rfm/rfm_2026070456791.pdf,2026-07-10,2026-08-20
FM262633,2026-04-27,10866,FONDO DE INVERSIÓN DEUDA PRIVADA AUTOMOTRIZ V FULLY FUNDED,ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.,Vigente,,Fondo Inversión No Rescatable,2026040287736,https://www.cmfchile.cl/documentos/rfm/rfm_2026040287736.pdf,2026-04-27,2026-08-20
FM262629,2026-04-22,10862,FONDO MUTUO BANCOESTADO MONEY MARKET RUTPAY,BANCOESTADO S.A. ADMINISTRADORA  GENERAL DE FONDOS,Vigente,,Fondo Mutuo,2026040277088,https://www.cmfchile.cl/documentos/rfm/rfm_2026040277088.pdf,2026-04-22,2026-08-20
FM262630,2026-04-22,10863,MONEDA GSI RENTAS COMERCIALES IV FONDO DE INVERSIÓN,MONEDA S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026050341999,https://www.cmfchile.cl/documentos/rfm/rfm_2026050341999.pdf,2026-05-20,2026-08-20
